,access_code,date_last_confirmed,expected_date,fuel_type_code,id,open_date,owner_type_code,status_code,station_name,updated_at,facility_type,geocode_status,city,state,street_address,zip,country,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_network_ids,hy_is_retail,hy_pressures,hy_standards,hy_status_link,federal_agency,lon,lat
4840,public,2020-12-22,,ELEC,159358,,,E,UC IRVINE,2020-12-22T00:25:38Z,,GPS,Irvine,CA,4600 Health Sciences Rd,92617,US,['J1772'],,,18.0,ChargePoint Network,http://www.chargepoint.com/,,"$2.5 per hour, maximum payment of $24, maximum session time is 24 hours",,"{'posts': ['1:622701', '1:622721', '1:622731', '1:622781', '1:622811', '1:622821', '1:622831', '1:622861', '1:622891'], 'ports': ['1', '2']}",,,,,,-117.8509844,33.6416298
4841,public,2020-12-22,,ELEC,159359,,,E,MERRILLGARDENS1,2020-12-22T00:25:38Z,,200-8,Rancho Cucamonga,CA,9942 Highland Ave,91737,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:622021', '1:622081'], 'ports': ['1', '2']}",,,,,,-117.58923,34.136256
4842,public,2020-12-22,,ELEC,159360,,,E,SANTA MONICA,2020-12-22T00:25:38Z,,GPS,Santa Monica,CA,1107 Montana Ave,90403,US,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour for the first 2 hours, and $1 per additional hour, $0.3 per kWh, maximum payment of $53",,"{'posts': ['1:615731'], 'ports': ['1']}",,,,,,-118.497846,34.0301107
4843,public,2020-12-22,,ELEC,159361,,,E,HMB,2020-12-22T00:25:38Z,,GPS,Half Moon Bay,CA,620 Correas St,94019,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"$1 per hour, maximum payment of $100",,"{'posts': ['1:613431'], 'ports': ['1', '2']}",,,,,,-122.431194,37.4615066
4844,public,2020-12-22,,ELEC,159362,,,E,JOHN HANCOCK,2020-12-22T00:25:38Z,,200-9,Long Beach,CA,111 W Ocean Blvd,90802,US,['J1772'],,,10.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $0 per hour for the first 3 hours, and $5 per additional hour",,"{'posts': ['1:605321', '1:605341', '1:605351', '1:605361', '1:607751', '1:607761', '1:607771', '1:607791'], 'ports': ['1', '2']}",,,,,,-118.193026,33.767581
4845,public,2020-12-22,,ELEC,159363,,,E,ETM,2020-12-22T00:25:38Z,,200-9,Newark,CA,35463 Dumbarton Ct,94560,US,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour for the first 1 hour, and $0.05 per additional hour, $0.12 per kWh, maximum payment of $20",,"{'posts': ['1:605281', '1:606071'], 'ports': ['1', '2']}",,,,,,-122.054135,37.547481
4846,public,2020-12-22,,ELEC,159364,,,E,ETM,2020-12-22T00:25:38Z,,GPS,Newark,CA,35455 Dumbarton Ct,94560,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour for the first 1 hour, and $0.05 per additional hour, $0.12 per kWh, maximum payment of $20",,"{'posts': ['1:605701'], 'ports': ['1', '2']}",,,,,,-122.0543607,37.5480214
4847,public,2020-12-22,,ELEC,159365,,,E,6TEN EAST,2020-12-22T00:25:38Z,,200-9,Sunnyvale,CA,610 E Weddell Dr,94089,US,['J1772'],,,7.0,ChargePoint Network,http://www.chargepoint.com/,,$0.19 per kWh,,"{'posts': ['1:125161', '1:603051', '1:604541', '1:605331'], 'ports': ['1', '2']}",,,,,,-122.010963,37.396128
4848,public,2020-12-22,,ELEC,159366,,,E,EV CHARGER 1,2020-12-22T00:25:38Z,,GPS,Los Angeles,CA,360 E 2nd St,90012,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $1.25 per hour for the first 2 hours, and $3 per additional hour, maximum payment of $20",,"{'posts': ['1:604201'], 'ports': ['1', '2']}",,,,,,-118.240258,34.0476717
4849,public,2020-12-22,,ELEC,159367,,,E,JEFFERSON,2020-12-22T00:25:38Z,,GPS,Daly City,CA,101 Lincoln Ave,94015,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$1.5 per hour,,"{'posts': ['1:600701'], 'ports': ['1', '2']}",,,,,,-122.4844253,37.678723
