,access_code,date_last_confirmed,expected_date,fuel_type_code,id,open_date,owner_type_code,status_code,station_name,updated_at,facility_type,geocode_status,city,state,street_address,zip,country,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_network_ids,hy_is_retail,hy_pressures,hy_standards,hy_status_link,federal_agency,lon,lat
5929,public,2020-12-22,,ELEC,160510,,,E,SOLTRANS,2020-12-22T00:25:38Z,,GPS,Vallejo,CA,801 Curtola Pkwy,94590,US,['J1772'],,,20.0,ChargePoint Network,http://www.chargepoint.com/,,"$1.25 per kWh, minimum payment of $1.25",,"{'posts': ['1:119875', '1:120195', '1:121161', '1:121173', '1:121375', '1:121385', '1:121387', '1:121657', '1:129489', '1:129503', '1:129575'], 'ports': ['1', '2']}",,,,,,-122.2369098,38.0931491
5930,public,2020-12-22,,ELEC,160511,,,E,BAYSHORE TECH,2020-12-22T00:25:38Z,,200-9,Redwood City,CA,1200 Bridge Pkwy,94065,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,Pricing is based on an hourly rate. $1 per hour,,"{'posts': ['1:129417', '1:95123'], 'ports': ['1', '2']}",,,,,,-122.257738,37.534669
5931,public,2020-12-22,,ELEC,160512,,,E,BAYSHORE TECH,2020-12-22T00:25:38Z,,200-8,Redwood City,CA,3000 Bridge Pkwy,94065,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,Pricing is based on an hourly rate. $1 per hour,,"{'posts': ['1:128927', '1:129355'], 'ports': ['1', '2']}",,,,,,-122.256233,37.539704
5932,public,2020-12-22,,ELEC,160513,,,E,BLUE_GREEN_PRKG,2020-12-22T00:25:38Z,,200-8,West Hollywood,CA,750 N San Vicente Blvd,90069,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $3 per hour for the first 4 hours, and $3.5 per additional hour",,"{'posts': ['1:128137', '1:129307'], 'ports': ['1', '2']}",,,,,,-118.383679,34.084639
5933,private,2020-12-22,,ELEC,160514,,,E,COUNTY,2020-12-22T00:25:38Z,,200-8,San Jose,CA,2220 Moorpark Ave,95128,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour for the first 3 hours, and $5 per additional hour, $0.2 per kWh, maximum payment of $50",,"{'posts': ['1:129301', '1:129303'], 'ports': ['1', '2']}",,,,,,-121.93269,37.315915
5934,private,2020-12-22,,ELEC,160515,,,E,COUNTY,2020-12-22T00:25:38Z,,200-8,San Jose,CA,751 S. Bascom Avenue Visitor Parking Garage,95128,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour for the first 3 hours, and $5 per additional hour, $0.2 per kWh, maximum payment of $50",,"{'posts': ['1:128219', '1:129297'], 'ports': ['1', '2']}",,,,,,-121.932088,37.313686
5935,public,2020-12-22,,ELEC,160516,,,E,PARK STRUCTURE,2020-12-22T00:25:38Z,,200-8,Fullerton,CA,351 E. Chapman Ave,92832,US,['J1772'],,,25.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:128081', '1:129235', '1:129269', '1:5543191', '1:5545381', '1:5545401', '1:5545431', '1:5545441', '1:5545461', '1:5545471', '1:5545511', '1:5545571', '1:5545581', '1:5545621'], 'ports': ['1', '2']}",,,,,,-117.918551,33.874215
5936,public,2020-12-22,,ELEC,160517,,,E,BAYSHORE TECH,2020-12-22T00:25:38Z,,GPS,Redwood City,CA,3200 Bridge Pkwy,94065,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Pricing is based on an hourly rate. $1 per hour,,"{'posts': ['1:128929'], 'ports': ['1', '2']}",,,,,,-122.2554263,37.5384352
5937,public,2020-12-22,,ELEC,160518,,,E,EV 1-,2020-12-22T00:25:38Z,,GPS,Castro Valley,CA,20103 Lake Chabot Rd,94546,US,['J1772'],,,6.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $0.6 per hour for the first 4 hours, and $5 per additional hour",,"{'posts': ['1:120605', '1:120615', '1:128635', '1:128723'], 'ports': ['1', '2']}",,,,,,-122.0887463,37.6980005
5938,public,2020-12-22,,ELEC,160519,,,E,PUBLIC CHARGERS,2020-12-22T00:25:38Z,,GPS,San Mateo,CA,1901-1941 O'Farrell St,94403,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$0.25 per kWh,,"{'posts': ['1:128665'], 'ports': ['1', '2']}",,,,,,-122.3150743,37.5481213
5939,public,2020-12-22,,ELEC,160520,,,E,CHARGINGSTATION,2020-12-22T00:25:38Z,,GPS,Cypress,CA,6400 Katella Ave,90630,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:128449'], 'ports': ['1', '2']}",,,,,,-118.0206303,33.8021099
5940,public,2020-12-22,,ELEC,160521,,,E,BAYSHORE TECH,2020-12-22T00:25:38Z,,GPS,Redwood City,CA,2200 Bridge Pkwy,94065,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Pricing is based on an hourly rate. $1 per hour,,"{'posts': ['1:128217'], 'ports': ['1', '2']}",,,,,,-122.2578182,37.5378709
5941,public,2020-12-22,,ELEC,160522,,,E,ADOBE SAN JOSE,2020-12-22T00:25:38Z,,GPS,San Jose,CA,151 Almaden Blvd,95113,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $0 per hour for the first 4 hours, and $5 per additional hour",,"{'posts': ['1:128175'], 'ports': ['1', '2']}",,,,,,-121.8937776,37.3313254
5942,public,2020-12-22,,ELEC,160523,,,E,EV CHARGER,2020-12-22T00:25:38Z,,GPS,Menlo Park,CA,727 El Camino Real,94025,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$1.5 per hour,,"{'posts': ['1:127899'], 'ports': ['1', '2']}",,,,,,-122.1793225,37.4514525
5943,public,2020-12-22,,ELEC,160524,,,E,COUNTY,2020-12-22T00:25:38Z,,200-9,San Jose,CA,79 N 17th St,95112,US,['J1772'],,,16.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour for the first 3 hours, and $5 per additional hour, $0.2 per kWh, maximum payment of $50",,"{'posts': ['1:127149', '1:127177', '1:127179', '1:127185', '1:127427', '1:127717', '1:127731', '1:127739'], 'ports': ['1', '2']}",,,,,,-121.875515,37.34488
5944,public,2020-12-22,,ELEC,160525,,,E,TASMAN,2020-12-22T00:25:38Z,,200-9,Santa Clara,CA,2525 Tasman Dr,95054,US,['J1772'],,,48.0,ChargePoint Network,http://www.chargepoint.com/,,$0.19 per kWh,,"{'posts': ['1:121491', '1:121541', '1:122009', '1:122039', '1:122041', '1:122043', '1:122065', '1:122069', '1:122075', '1:122407', '1:122411', '1:122413', '1:122415', '1:122417', '1:122419', '1:122427', '1:122431', '1:122433', '1:122443', '1:122543', '1:122709', '1:122875', '1:127449', '1:127689'], 'ports': ['1', '2']}",,,,,,-121.972156,37.404927
5945,public,2020-12-22,,ELEC,160526,,,E,LOMA LINDA UNIV,2020-12-22T00:25:38Z,,200-8,San Bernardino,CA,221-251 S G St,92410,US,['J1772'],,,11.0,ChargePoint Network,http://www.chargepoint.com/,,$0.4 per kWh,,"{'posts': ['1:126351', '1:127231', '1:127385', '1:127389', '1:127471', '1:127631'], 'ports': ['1', '2']}",,,,,,-117.298451,34.097736
5946,public,2020-12-22,,ELEC,160527,,,E,SDIA,2020-12-22T00:25:38Z,,200-8,San Diego,CA,2701 N Harbor Dr,92101,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:127573', '1:35043'], 'ports': ['1', '2']}",,,,,,-117.181131,32.727874
5947,public,2020-12-22,,ELEC,160528,,,E,WINDPLAY,2020-12-22T00:25:38Z,,200-9,El Dorado Hills,CA,4944 Windplay Dr,95762,US,['J1772'],,,6.0,ChargePoint Network,http://www.chargepoint.com/,,$0.28 per kWh,,"{'posts': ['1:125191', '1:127141', '1:127559'], 'ports': ['1', '2']}",,,,,,-121.070366,38.637669
5948,public,2020-12-22,,ELEC,160529,,,E,IRVINE  CO  OFC,2020-12-22T00:25:38Z,,GPS,Irvine,CA,250 Spectrum,92618,US,['J1772'],,,12.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $1.25 per hour for the first 4 hours, and $3 per additional hour, maximum payment of $24, maximum session time is 24 hours",,"{'posts': ['1:124473', '1:124505', '1:124507', '1:124533', '1:126965', '1:127551'], 'ports': ['1', '2']}",,,,,,-117.7476439,33.6525541
5949,public,2020-12-22,,ELEC,160530,,,E,ESSEX,2020-12-22T00:25:38Z,,200-9,Walnut Creek,CA,1305 S Main St,94596,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,Pricing is based on an hourly rate. $1 per hour,,"{'posts': ['1:127533', '1:127547'], 'ports': ['1', '2']}",,,,,,-122.059209,37.894244
5950,public,2020-12-22,,ELEC,160531,,,E,JOHN MUIR HLTH,2020-12-22T00:25:38Z,,200-9,Concord,CA,5003 Commercial Circle,94520,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $0 per hour for the first 4 hours, and $5 per additional hour, maximum payment of $40",,"{'posts': ['1:127347', '1:127529'], 'ports': ['1', '2']}",,,,,,-122.031698,38.01504
5951,public,2020-12-22,,ELEC,160532,,,E,SCLH,2020-12-22T00:25:38Z,,GPS,Lincoln,CA,965 Orchard Creek Ln,95648,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $2 per hour for the first 4 hours, and $4 per additional hour",,"{'posts': ['1:127517'], 'ports': ['1', '2']}",,,,,,-121.276218,38.8689749
5952,public,2020-12-22,,ELEC,160534,,,E,LOMA LINDA UNIV,2020-12-22T00:25:38Z,,GPS,San Bernardino,CA,250 S G St,92410,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$0.4 per kWh,,"{'posts': ['1:127395'], 'ports': ['1', '2']}",,,,,,-117.2986792,34.0966894
5953,public,2020-12-22,,ELEC,160535,,,E,TEAM VOLKSWAGEN,2020-12-22T00:25:38Z,,200-9,Hayward,CA,25115 Mission Blvd,94544,US,['J1772COMBO'],1.0,,,ChargePoint Network,http://www.chargepoint.com/,,"$0.1 per hour, $0.2 per kWh, minimum payment of $5",,"{'posts': ['1:127375'], 'ports': ['1']}",,,,,,-122.0730978,37.6577697
5954,public,2020-12-22,,ELEC,160536,,,E,MONOGRAM RES,2020-12-22T00:25:38Z,,200-9,San Francisco,CA,1401 Mission St,94103,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:124239', '1:127357'], 'ports': ['1', '2']}",,,,,,-122.415848,37.774948
5955,public,2020-12-22,,ELEC,160537,,,E,DIRITO BROTHERS,2020-12-22T00:25:38Z,,GPS,Walnut Creek,CA,2020 N Main St,94596,US,['J1772COMBO'],1.0,,,ChargePoint Network,http://www.chargepoint.com/,,"$0.2 per hour, minimum payment of $0.2",,"{'posts': ['1:127285'], 'ports': ['1']}",,,,,,-122.0639879,37.9073958
5956,public,2020-12-22,,ELEC,160538,,,E,CPEX,2020-12-22T00:25:38Z,,200-9,Chula Vista,CA,590 3rd Ave,91910,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour, and $5 per additional hour from 4:00 PM to 9:00 PM, $0.495 per kWh",,"{'posts': ['1:121755', '1:127283'], 'ports': ['1', '2']}",,,,,,-117.076888,32.631264
5957,public,2020-12-22,,ELEC,160539,,,E,SHS MISSION VAL,2020-12-22T00:25:38Z,,200-8,San Diego,CA,2401 Camino Del Rio N,92108,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour for the first 2 hours, and $1 per additional hour, $0.5 per kWh",,"{'posts': ['1:123579', '1:127175'], 'ports': ['1', '2']}",,,,,,-117.137166,32.771751
5958,public,2020-12-22,,ELEC,160540,,,E,LEVC GROUP LLC,2020-12-22T00:25:38Z,,GPS,Lake Elsinore,CA,2501 E Lakeshore Dr,92530,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:126967'], 'ports': ['1', '2']}",,,,,,-117.3015748,33.6600487
5959,public,2020-12-22,,ELEC,160541,,,E,UC SANTABARBARA,2020-12-22T00:25:38Z,,GPS,Goleta,CA,Lot 60 - East Side - Opposite the Entrance to the Lot Turn West from Storke Rd on Sierra Madre Ct,93117,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$0.2 per kWh,,"{'posts': ['1:126917'], 'ports': ['1', '2']}",,,,,,-119.8699627,34.4187763
5960,public,2020-12-22,,ELEC,160542,,,E,ONTARIO 76,2020-12-22T00:25:38Z,,200-9,Ontario,CA,1850 E Holt Blvd,91761,US,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$0.2 per hour,,"{'posts': ['1:125631', '1:126881'], 'ports': ['1', '2']}",,,,,,-117.61148,34.063139
5961,public,2020-12-22,,ELEC,160543,,,E,CCSF - SFO,2020-12-22T00:25:38Z,,GPS,San Francisco,CA,San Francisco International Airport International Parking Garage G,94128,US,['J1772'],,,14.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:123741', '1:126049', '1:126773', '1:89799', '1:90191', '1:90317', '1:90405'], 'ports': ['1', '2']}",,,,,,-122.3925626,37.6156528
5962,public,2020-12-22,,ELEC,160544,,,E,ROBLE,2020-12-22T00:25:38Z,,200-9,Stanford,CA,375 Santa Teresa St,94305,US,['J1772'],,,8.0,ChargePoint Network,http://www.chargepoint.com/,,Pricing is based on time of day. $1 per hour from 6:00 AM to 4:00 PM,,"{'posts': ['1:126187', '1:126643', '1:126661', '1:126673'], 'ports': ['1', '2']}",,,,,,-122.173545,37.425961
5963,public,2020-12-22,,ELEC,160545,,,E,DUBLIN KIA,2020-12-22T00:25:38Z,,200-9,Dublin,CA,4300 D John Monego Ct,94568,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,$5 per hour,,"{'posts': ['1:123833', '1:126639'], 'ports': ['1', '2']}",,,,,,-121.877161,37.703324
5964,public,2020-12-22,,ELEC,160546,,,E,WESTFIELD,2020-12-22T00:25:38Z,,GPS,Los Angeles,CA,6439-6463 Owensmouth Ave,91303,US,['J1772'],,,20.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour for the first 3 hours, and $5 per additional hour, $0.28 per kWh",,"{'posts': ['1:121917', '1:122435', '1:122453', '1:122455', '1:122469', '1:122477', '1:122481', '1:122933', '1:122953', '1:126305'], 'ports': ['1', '2']}",,,,,,-118.6040041,34.1844178
5965,public,2020-12-22,,ELEC,160547,,,E,ROBLE,2020-12-22T00:25:38Z,,GPS,Stanford,CA,671-725 Panama St,94305,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Pricing is based on time of day. $1 per hour from 6:00 AM to 4:00 PM,,"{'posts': ['1:126277'], 'ports': ['1', '2']}",,,,,,-122.1760097,37.4267856
5966,public,2020-12-22,,ELEC,160548,,,E,ELAN MENLO PARK,2020-12-22T00:25:38Z,,200-9,Menlo Park,CA,3645 Haven Ave,94025,US,['J1772'],,,3.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:123447', '1:123487', '1:126275'], 'ports': ['1']}",,,,,,-122.182879,37.485718
5967,public,2020-12-22,,ELEC,160549,,,E,EV CHARGING,2020-12-22T00:25:38Z,,GPS,San Jose,CA,Pso De Arboles,95135,US,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $1.25 per hour for the first 3 hours, and $1.5 per additional hour, minimum payment of $0.35, maximum payment of $15, maximum session time is 12 hours",,"{'posts': ['1:126207'], 'ports': ['1']}",,,,,,-121.7654268,37.302921
5968,public,2020-12-22,,ELEC,160550,,,E,CCSF - SFO,2020-12-22T00:25:38Z,,GPS,South San Francisco,CA,San Francisco International Airport Domestic Garage,94128,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:126089'], 'ports': ['1', '2']}",,,,,,-122.3851667,37.6159112
5969,public,2020-12-22,,ELEC,160551,,,E,CCSF - SFO,2020-12-22T00:25:38Z,,GPS,Millbrae,CA,San Francisco International Airport International Parking Garage G,94030,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:126077'], 'ports': ['1', '2']}",,,,,,-122.3931588,37.6154248
5970,public,2020-12-22,,ELEC,160552,,,E,ESSEX,2020-12-22T00:25:38Z,,200-9,Emeryville,CA,6399 Christie Ave,94608,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,Pricing is based on an hourly rate. $1 per hour,,"{'posts': ['1:125281', '1:126037'], 'ports': ['1', '2']}",,,,,,-122.296292,37.842947
5971,public,2020-12-22,,ELEC,160553,,,E,SOUTHLAND,2020-12-22T00:25:38Z,,GPS,Anaheim,CA,1378-1398 S Sanderson Ave,92806,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $1 per hour for the first 3 hours, and $2.5 per additional hour",,"{'posts': ['1:125813'], 'ports': ['1', '2']}",,,,,,-117.8747857,33.8145365
5972,public,2020-12-22,,ELEC,160554,,,E,SOUTHLAND,2020-12-22T00:25:38Z,,GPS,Anaheim,CA,1382 S Sanderson Ave,92806,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $1 per hour for the first 3 hours, and $2.5 per additional hour",,"{'posts': ['1:125781'], 'ports': ['1', '2']}",,,,,,-117.8748287,33.8145186
5973,public,2020-12-22,,ELEC,160555,,,E,CALTRANS - D3,2020-12-22T00:25:38Z,,GPS,Elk Grove,CA,9001-9119 Elkmont Way,95624,US,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:125659'], 'ports': ['1']}",,,,,,-121.3634259,38.3833984
5974,public,2020-12-22,,ELEC,160556,,,E,TORRANCE,2020-12-22T00:25:38Z,,200-8,Torrance,CA,2300-2376 Jefferson St,90501,US,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour, and $2.5 per additional hour, $0.25 per kWh",,"{'posts': ['1:114399', '1:125587'], 'ports': ['1', '2']}",,,,,,-118.324599,33.827444
5975,public,2020-12-22,,ELEC,160557,,,E,COC EV CHARGING,2020-12-22T00:25:38Z,,GPS,Corona,CA,324-374 S Vicentia Ave,92882,US,"['CHADEMO', 'J1772COMBO']",2.0,,,ChargePoint Network,http://www.chargepoint.com/,,$0.29 per kWh,,"{'posts': ['1:125579'], 'ports': ['1']}",,,,,,-117.5750622,33.8789284
5976,public,2020-12-22,,ELEC,160558,,,E,TOWNOFDANVILLE,2020-12-22T00:25:38Z,,GPS,Danville,CA,400 Front St,94526,US,"['CHADEMO', 'J1772COMBO']",2.0,,,ChargePoint Network,http://www.chargepoint.com/,,"$0.55 per kWh, $1 per session",,"{'posts': ['1:125489'], 'ports': ['1']}",,,,,,-121.9954667,37.8204696
5977,public,2020-12-22,,ELEC,160559,,,E,HQ STATION 5,2020-12-22T00:25:38Z,,200-9,Santa Fe Springs,CA,9807 Bell Ranch Dr,90670,US,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,3.0,ChargePoint Network,http://www.chargepoint.com/,,$0.2 per kWh,,"{'posts': ['1:123191', '1:124609', '1:125475'], 'ports': ['1', '2']}",,,,,,-118.06438,33.949624
5978,public,2020-12-22,,ELEC,160560,,,E,UC SANTABARBARA,2020-12-22T00:25:38Z,,GPS,Santa Barbara,CA,UCSB - 10 Parking Structure Mesa Rd,93106,US,['J1772'],,,8.0,ChargePoint Network,http://www.chargepoint.com/,,$0.2 per kWh,,"{'posts': ['1:122959', '1:123019', '1:123839', '1:125445'], 'ports': ['1', '2']}",,,,,,-119.8405506,34.4158168
5979,public,2020-12-22,,ELEC,160561,,,E,EVSP WALGREENS,2020-12-22T00:25:38Z,,GPS,Granite Bay,CA,4051 Douglas Blvd,95746,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour, and $10 per additional hour, $0.35 per kWh",,"{'posts': ['1:125289'], 'ports': ['1', '2']}",,,,,,-121.2244833,38.7440723
5980,public,2020-12-22,,ELEC,160562,,,E,ESSEX,2020-12-22T00:25:38Z,,GPS,Sunnyvale,CA,822 E Evelyn Ave,94086,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Pricing is based on an hourly rate. $1 per hour,,"{'posts': ['1:125285'], 'ports': ['1', '2']}",,,,,,-122.0161176,37.3710926
5981,public,2020-12-22,,ELEC,160563,,,E,FACEBOOK,2020-12-22T00:25:38Z,,200-9,Menlo Park,CA,164 Jefferson Dr.,94025,US,['J1772'],,,8.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:122891', '1:123021', '1:125223', '1:125277'], 'ports': ['1', '2']}",,,,,,-122.172448,37.481634
5982,public,2020-12-22,,ELEC,160564,,,E,MAIN VALET 1,2020-12-22T00:25:38Z,,GPS,Commerce,CA,6131-6145 Telegraph Rd,90040,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:125209'], 'ports': ['1', '2']}",,,,,,-118.145934,33.9980016
5983,public,2020-12-22,,ELEC,160565,,,E,CALTRANS - D3,2020-12-22T00:25:38Z,,GPS,Rancho Cordova,CA,3165 Fitzgerald Rd,95742,US,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:125107'], 'ports': ['1']}",,,,,,-121.2612954,38.5876169
5984,public,2020-12-22,,ELEC,160566,,,E,IRVINE  CO  OFC,2020-12-22T00:25:38Z,,200-9,Los Angeles,CA,2121 Avenue of the Stars,90067,US,['J1772'],,,12.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $1.25 per hour for the first 4 hours, and $3 per additional hour, maximum payment of $24, maximum session time is 24 hours",,"{'posts': ['1:107273', '1:107359', '1:107361', '1:109289', '1:122513', '1:124973'], 'ports': ['1', '2']}",,,,,,-118.413615,34.055154
5985,public,2020-12-22,,ELEC,160567,,,E,DC CORRIDOR,2020-12-22T00:25:38Z,,200-8,Buellton,CA,555 McMurray Rd,93427,US,"['CHADEMO', 'J1772COMBO']",4.0,,,ChargePoint Network,http://www.chargepoint.com/,,"$0.1 per hour, $0.25 per kWh",,"{'posts': ['1:124763', '1:124775'], 'ports': ['1']}",,,,,,-120.188117,34.615389
5986,public,2020-12-22,,ELEC,160568,,,E,TORRANCE,2020-12-22T00:25:38Z,,200-9,Torrance,CA,3855 W 242nd St,90505,US,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour, and $2.5 per additional hour, $0.25 per kWh",,"{'posts': ['1:114389', '1:124769'], 'ports': ['1', '2']}",,,,,,-118.353564,33.805021
5987,public,2020-12-22,,ELEC,160569,,,E,TORRANCE,2020-12-22T00:25:38Z,,200-9,Torrance,CA,17537 Yukon Ave,90504,US,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour, and $2.5 per additional hour, $0.25 per kWh",,"{'posts': ['1:123125', '1:124759'], 'ports': ['1', '2']}",,,,,,-118.335482,33.871646
5988,public,2020-12-22,,ELEC,160570,,,E,TORRANCE,2020-12-22T00:25:38Z,,200-9,Torrance,CA,1334 Post Ave,90501,US,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour, and $2.5 per additional hour, $0.25 per kWh",,"{'posts': ['1:114375', '1:124757'], 'ports': ['1', '2']}",,,,,,-118.317387,33.835053
5989,public,2020-12-22,,ELEC,160571,,,E,MAIN STREET,2020-12-22T00:25:38Z,,200-8,Cupertino,CA,19500 Stevens Creek Blvd,95014,US,['J1772'],,,20.0,ChargePoint Network,http://www.chargepoint.com/,,$0.49 per kWh,,"{'posts': ['1:120511', '1:120543', '1:121775', '1:123627', '1:123633', '1:123635', '1:123761', '1:123763', '1:124619', '1:124629', '1:124711'], 'ports': ['1', '2']}",,,,,,-122.014284,37.322676
5990,public,2020-12-22,,ELEC,160572,,,E,PUR,2020-12-22T00:25:38Z,,GPS,Long Beach,CA,225 W 3rd St,90802,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour, and $0.15 per additional hour, $0.3 per kWh, maximum payment of $30",,"{'posts': ['1:124673'], 'ports': ['1', '2']}",,,,,,-118.1945326,33.7708347
5991,public,2020-12-22,,ELEC,160573,,,E,EL PUEBLO,2020-12-22T00:25:38Z,,GPS,Sonoma,CA,896 W Napa St,95476,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$2 per hour,,"{'posts': ['1:124671'], 'ports': ['1', '2']}",,,,,,-122.4751067,38.2940569
5992,public,2020-12-22,,ELEC,160575,,,E,SANTA MONICA VW,2020-12-22T00:25:38Z,,GPS,Santa Monica,CA,2440 Santa Monica Blvd,90404,US,['J1772COMBO'],1.0,,,ChargePoint Network,http://www.chargepoint.com/,,$0.5 per hour,,"{'posts': ['1:124607'], 'ports': ['1']}",,,,,,-118.4751632,34.0314916
5993,public,2020-12-22,,ELEC,160576,,,E,ESSEX,2020-12-22T00:25:38Z,,200-9,Los Angeles,CA,5200 Wilshire Blvd,90036,US,['J1772'],,,5.0,ChargePoint Network,http://www.chargepoint.com/,,Pricing is based on an hourly rate. $1 per hour,,"{'posts': ['1:121371', '1:122475', '1:124601'], 'ports': ['1', '2']}",,,,,,-118.343349,34.061897
5994,public,2020-12-22,,ELEC,160577,,,E,IRVINE  CO  OFC,2020-12-22T00:25:38Z,,200-9,Irvine,CA,15370 Barranca Pkwy,92618,US,['J1772'],,,3.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $1.25 per hour for the first 4 hours, and $3 per additional hour, maximum payment of $24, maximum session time is 24 hours",,"{'posts': ['1:124231', '1:124581'], 'ports': ['1', '2']}",,,,,,-117.742047,33.660971
5995,public,2020-12-22,,ELEC,160578,,,E,LBA REALTY,2020-12-22T00:25:38Z,,GPS,Tustin,CA,3002 Dow Ave.,92780,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $0.75 per hour for the first 2 hours, and $3 per additional hour, minimum payment of $0.75",,"{'posts': ['1:124521'], 'ports': ['1', '2']}",,,,,,-117.8051091,33.7085543
5996,public,2020-12-22,,ELEC,160579,,,E,SG MENLO PARK,2020-12-22T00:25:38Z,,GPS,Menlo Park,CA,350 Sharon Park Dr,94025,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour for the first 6 hours, and $1 per additional hour, $0.25 per kWh, minimum payment of $2",,"{'posts': ['1:124485'], 'ports': ['1', '2']}",,,,,,-122.1992657,37.4241156
